0,common,read,sys_read,,0
1,common,write,sys_write,,0
2,common,open,sys_open,,0
3,common,close,sys_close,,0
4,common,stat,sys_newstat,,0
5,common,fstat,sys_newfstat,,0
6,common,lstat,sys_newlstat,,0
7,common,poll,sys_poll,,0
8,common,lseek,sys_lseek,,0
9,common,mmap,sys_mmap,,0
10,common,mprotect,sys_mprotect,,0
11,common,munmap,sys_munmap,,0
12,common,brk,sys_brk,,0
13,64,rt_sigaction,sys_rt_sigaction,,0
14,common,rt_sigprocmask,sys_rt_sigprocmask,,0
15,64,rt_sigreturn,sys_rt_sigreturn,,0
16,64,ioctl,sys_ioctl,,0
17,common,pread64,sys_pread64,,0
18,common,pwrite64,sys_pwrite64,,0
19,64,readv,sys_readv,,0
20,64,writev,sys_writev,,0
21,common,access,sys_access,,0
22,common,pipe,sys_pipe,,0
23,common,select,sys_select,,0
24,common,sched_yield,sys_sched_yield,,0
25,common,mremap,sys_mremap,,0
26,common,msync,sys_msync,,0
27,common,mincore,sys_mincore,,0
28,common,madvise,sys_madvise,,0
29,common,shmget,sys_shmget,,0
30,common,shmat,sys_shmat,,0
31,common,shmctl,sys_shmctl,,0
32,common,dup,sys_dup,,0
33,common,dup2,sys_dup2,,0
34,common,pause,sys_pause,,0
35,common,nanosleep,sys_nanosleep,,0
36,common,getitimer,sys_getitimer,,0
37,common,alarm,sys_alarm,,0
38,common,setitimer,sys_setitimer,,0
39,common,getpid,sys_getpid,,0
40,common,sendfile,sys_sendfile64,,0
41,common,socket,sys_socket,,0
42,common,connect,sys_connect,,0
43,common,accept,sys_accept,,0
44,common,sendto,sys_sendto,,0
45,64,recvfrom,sys_recvfrom,,0
46,64,sendmsg,sys_sendmsg,,0
47,64,recvmsg,sys_recvmsg,,0
48,common,shutdown,sys_shutdown,,0
49,common,bind,sys_bind,,0
50,common,listen,sys_listen,,0
51,common,getsockname,sys_getsockname,,0
52,common,getpeername,sys_getpeername,,0
53,common,socketpair,sys_socketpair,,0
54,64,setsockopt,sys_setsockopt,,0
55,64,getsockopt,sys_getsockopt,,0
56,common,clone,sys_clone,,0
57,common,fork,sys_fork,,0
